target_dur,attack,mis_rate
2.0,A09,0.008246971245073712
2.0,A10,0.007006276455991826
2.0,A11,0.014377463144066559
2.0,A12,0.9898554955480952
2.0,A13,0.07670413078382718
2.0,A14,0.1275726171361845
2.0,A15,0.15676543570281712
2.0,A16,0.008684863523573201
3.0,A09,0.03853452050795504
3.0,A10,0.039118376879287695
3.0,A11,0.04911691723835936
3.0,A12,0.976280834914611
3.0,A13,0.07809078966574223
3.0,A14,0.09100861188147716
3.0,A15,0.2227412056634068
3.0,A16,0.026857393081302
5.0,A09,0.02933878265946577
5.0,A10,0.03014158517004817
5.0,A11,0.07393081301999709
5.0,A12,0.9848197343453511
5.0,A13,0.08035323310465625
5.0,A14,0.07064662093125092
5.0,A15,0.16523135308714057
5.0,A16,0.025397752152970368
